Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Avg Resp,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Min Resp,Max Resp
Running,19-05-19 7:29,FALSE,Melbourne Running,22.08,"1,153",2:50:04,116,142,2.1,143,179,7:42,5:27,11,14,0.89,9.8,8.7,343,50.8% L / 49.2% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,15,0:00,No,00:30.5,23,0,--,--
Running,18-05-19 15:43,FALSE,Melbourne Running,8.1,656,0:53:53,143,157,3.1,149,176,6:39,5:12,24,24,0.98,10.1,9.9,325,50.9% L / 49.1% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,20,0:00,No,00:40.7,9,0,--,--
Cycling,18-05-19 6:11,FALSE,Melbourne Cycling,195.24,"3,028",7:31:33,132,158,--,--,--,25.9,51.6,"1,048","1,033",0,0,0,--,--,67,104,143,381.9,136,115,442,0,0,26585,--,--,--,0:00,3,0:00,No,00:52.4,196,0,--,--
Pool Swimming,17-05-19 5:55,FALSE,Lap Swimming,"2,500",749,0:46:00,--,--,--,--,--,1:50,1:03,--,--,1.09,0,0,--,--,--,--,--,0,--,--,--,0,0,1149,32,25,--,0:00,0,0:00,No,09:02.5,3,0,--,--
Running,16-05-19 6:48,FALSE,Melbourne Running,5.1,361,0:29:28,141,155,2.8,158,187,5:47,4:27,32,35,1.01,10.9,10.7,287,50.0% L / 50.0% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,15,0:00,No,00:34.3,6,0,--,--
Open Water Swimming,15-05-19 16:36,FALSE,Port Phillip Bay Open Water Swimming,"1,507",355,0:21:51,--,--,--,--,--,1:27,0:30,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,659,33,30,--,0:00,15,0:00,No,00:00.0,1,0,--,--
Running,15-05-19 12:04,FALSE,Melbourne Running,5.07,310,0:27:09,140,160,3,163,194,5:21,3:58,27,34,1.03,10,9.9,279,50.5% L / 49.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,19,0:00,No,00:23.9,6,0,--,--
Running,14-05-19 11:59,FALSE,Melbourne Running,5.11,357,0:29:34,140,157,2.8,161,256,5:47,4:42,29,34,0.98,10.6,10.3,280,50.5% L / 49.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,21,0:00,No,00:39.5,6,0,--,--
Running,14-05-19 6:42,FALSE,Melbourne Running,2.08,154,0:12:45,137,153,2.2,161,171,6:08,4:35,3,6,0.96,11.1,9.9,285,50.2% L / 49.8% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,17,0:00,No,00:42.6,3,0,--,--
Cycling,14-05-19 5:18,FALSE,Melbourne Cycling,36.3,608,1:15:53,125,150,--,--,--,28.7,39.8,91,74,0,0,0,--,--,70,97,158,77.9,150,138,587,0,0,4774,--,--,--,0:00,11,0:00,No,01:00.1,37,0,--,--
Running,12-05-19 7:20,FALSE,Melbourne Running,30.08,"1,700",3:31:26,128,144,3,149,187,7:02,5:15,21,33,0.92,10.4,9.6,318,51.1% L / 48.9% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,15,0:00,No,00:39.6,31,0,--,--
Running,11-05-19 15:02,FALSE,Melbourne Running,6.03,441,0:37:42,139,152,3,155,172,6:15,5:02,11,15,1,10.4,10.3,291,50.7% L / 49.3% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,18,0:00,No,00:11.6,7,0,--,--
Cycling,11-05-19 6:40,FALSE,Melbourne Cycling,180.55,"2,825",7:03:55,132,159,--,--,--,25.6,51.3,715,724,0,0,0,--,--,63,90,137,329.5,143,115,485,0,0,24336,--,--,--,0:00,9,0:00,No,01:23.9,181,0,--,--
Pool Swimming,10-05-19 6:00,FALSE,Lap Swimming,"4,220","1,049",1:19:27,--,--,--,--,--,1:53,1:03,--,--,1.06,0,0,--,--,--,--,--,0,--,--,--,0,0,1954,32,25,--,0:00,0,0:00,No,05:10.0,5,0,--,--
Treadmill Running,09-05-19 11:48,FALSE,Treadmill Running,5.05,346,0:32:42,127,154,2.3,155,173,6:28,4:42,5,--,1,10.1,10.3,300,50.7% L / 49.3% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,24,0:00,No,00:20.0,6,0,--,--
Treadmill Running,07-05-19 5:49,FALSE,Treadmill Running,5.05,401,0:33:42,133,158,2.9,154,168,6:40,5:51,1,--,0.97,10.1,10.1,307,50.8% L / 49.2% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,22,0:00,No,00:20.4,6,0,--,--
Open Water Swimming,06-05-19 16:16,FALSE,Port Phillip Bay Open Water Swimming,"2,138",493,0:41:49,--,--,--,--,--,1:57,0:50,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1211,44,28,--,0:00,16,0:00,No,00:00.0,1,0,--,--
Running,05-05-19 14:38,FALSE,Melbourne Running,4.02,318,0:27:06,136,150,2.6,150,205,6:45,5:14,7,11,0.96,10.7,10.1,307,50.7% L / 49.3% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,19,0:00,No,00:05.6,5,0,--,--
Cycling,05-05-19 6:44,FALSE,Melbourne Cycling,175.35,"2,385",6:37:47,118,145,--,--,--,26.4,42.8,157,150,0,0,0,--,--,66,89,117,225.3,121,104,490,0,0,23899,--,--,--,0:00,11,0:00,No,01:09.2,176,0,--,--
Running,04-05-19 19:42,FALSE,Melbourne Running,4.3,339,0:28:54,135,147,2.5,152,179,6:44,4:42,44,41,0.95,10.3,9.6,318,50.8% L / 49.2% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,17,0:00,No,01:48.8,5,0,--,--
Running,04-05-19 6:57,FALSE,Melbourne Running,25.14,"1,713",2:37:08,145,167,3.3,157,178,6:15,5:00,44,91,1,9.9,9.9,294,50.5% L / 49.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,14,0:00,No,00:51.0,26,0,--,--
Treadmill Running,02-05-19 11:51,FALSE,Treadmill Running,5.05,402,0:34:27,134,155,2.8,155,167,6:49,5:00,6,--,0.94,10.6,10.2,304,50.1% L / 49.9% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,00:20.4,6,0,--,--
Open Water Swimming,01-05-19 15:20,FALSE,Port Phillip Bay Open Water Swimming,"2,521",580,0:50:16,--,--,--,--,--,2:00,0:52,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1527,45,30,--,0:00,16,0:00,No,00:00.0,1,0,--,--
Treadmill Running,30-04-19 12:13,FALSE,Treadmill Running,5.05,385,0:34:46,131,140,2.5,153,166,6:53,4:08,10,--,0.95,10.8,10.4,311,50.1% L / 49.9% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,00:23.1,6,0,--,--
Running,28-04-19 7:48,FALSE,Melbourne Running,28.17,"1,620",3:24:00,125,148,2.9,147,183,7:15,4:47,40,42,0.9,10.3,9.2,336,50.5% L / 49.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,14,0:00,No,01:31.7,29,0,--,--
Running,27-04-19 15:14,FALSE,Melbourne Running,4.07,343,0:26:20,144,153,3.1,154,178,6:28,5:14,10,15,0.97,10.4,10.1,302,50.6% L / 49.4% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,18,0:00,No,00:36.0,5,0,--,--
Cycling,27-04-19 5:55,FALSE,Melbourne Cycling,187.12,"2,911",7:29:42,128,155,--,--,--,25,49.2,"1,009",967,0,0,0,--,--,63,93,135,340.3,129,111,446,0,0,24894,--,--,--,0:00,8,0:00,No,00:37.0,188,0,--,--
Pool Swimming,26-04-19 7:47,FALSE,Lap Swimming,"4,200","1,049",1:18:27,--,--,--,--,--,1:52,1:03,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1945,32,25,--,0:00,0,0:00,No,04:10.0,5,0,--,--
Open Water Swimming,25-04-19 10:58,FALSE,Port Phillip Bay Open Water Swimming,"1,067",181,0:19:48,118,122,1.5,--,--,1:51,0:48,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,568,41,28,--,0:00,17,0:00,No,00:00.0,1,0,--,--
Running,25-04-19 9:07,FALSE,Melbourne Running,10.28,741,1:01:25,143,160,3.1,157,192,5:59,4:51,8,11,1.05,9.9,10.4,300,50.5% L / 49.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,17,0:00,No,01:36.9,11,0,--,--
Cycling,25-04-19 7:39,FALSE,Melbourne Cycling,34.03,605,1:16:37,113,137,--,--,--,26.6,45.3,171,170,0,0,0,--,--,66,83,156,77.2,158,135,408,0,0,4712,--,--,--,0:00,10,0:00,No,00:07.4,35,0,--,--
Running,24-04-19 6:03,FALSE,Melbourne Running,12.07,770,1:17:09,136,156,2.8,154,202,6:24,4:42,49,59,0.97,10.2,9.8,307,50.3% L / 49.7% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,17,0:00,No,00:24.5,13,0,--,--
