Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Avg Resp,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Min Resp,Max Resp
Treadmill Running,09-01-19 11:45,FALSE,Treadmill Running,5.07,417,0:36:05,--,--,--,151,164,7:07,4:32,--,2,0.93,0,0,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,26,0:00,No,00:00.0,6,0,--,--
Open Water Swimming,09-01-19 5:59,FALSE,Port Phillip Bay Open Water Swimming,"1,340",240,0:29:14,118,126,2.1,--,--,2:11,0:43,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,889,49,30,--,0:00,22,0:00,No,00:00.0,1,0,--,--
Running,08-01-19 5:54,FALSE,Melbourne Running,6.16,427,0:44:57,134,152,3.1,145,195,7:18,4:33,25,29,0.9,10,8.8,327,50.5% L / 49.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,21,0:00,No,00:00.0,7,0,--,--
Open Water Swimming,06-01-19 9:10,FALSE,Port Phillip Bay Open Water Swimming,"1,559",338,0:30:53,--,--,--,--,--,1:59,0:51,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,911,44,29,--,0:00,21,0:00,No,00:00.0,1,0,--,--
Running,06-01-19 7:21,FALSE,Melbourne Running,7.53,565,0:56:24,--,--,--,145,248,7:29,4:59,39,56,0.92,0,0,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,20,0:00,No,00:00.0,8,0,--,--
Running,05-01-19 11:06,FALSE,Melbourne Running,2.08,159,0:15:00,--,--,--,148,242,7:14,5:23,5,1,0.94,0,0,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,21,0:00,No,00:00.0,3,0,--,--
Cycling,05-01-19 6:43,FALSE,Melbourne Cycling,87.72,"1,640",3:41:23,133,159,--,--,--,23.8,58.3,554,601,0,0,0,--,--,66,178,147,198.9,155,126,495,0,0,13321,--,--,--,0:00,15,0:00,No,00:00.0,88,0,--,--
Open Water Swimming,04-01-19 7:45,FALSE,Port Phillip Bay Open Water Swimming,"4,406",620,1:28:35,119,126,2.8,--,--,2:01,0:31,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,2526,44,28,--,0:00,22,0:00,No,00:00.0,2,0,--,--
Running,03-01-19 18:55,FALSE,Melbourne Running,5.05,391,0:34:14,143,161,3.5,151,178,6:47,5:13,6,5,0.96,9.7,9.1,322,50.5% L / 49.5% R,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,27,0:00,No,00:00.0,6,0,--,--
Open Water Swimming,03-01-19 18:03,FALSE,Port Phillip Bay Open Water Swimming,930,200,0:19:28,--,--,--,--,--,2:06,0:56,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,582,47,29,--,0:00,24,0:00,No,00:00.0,1,0,--,--
Cycling,03-01-19 6:40,FALSE,Melbourne Cycling,73.48,"1,254",2:56:08,125,155,--,--,--,25,53.6,234,226,0,0,0,--,--,68,95,141,146.5,143,122,419,0,0,11170,--,--,--,0:00,16,0:00,No,00:00.0,74,0,--,--
Open Water Swimming,01-01-19 9:06,FALSE,Port Phillip Bay Open Water Swimming,"2,375",347,0:43:31,117,127,2.1,--,--,1:50,0:22,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1241,41,28,--,0:00,22,0:00,No,00:00.0,1,0,--,--
Open Water Swimming,31-12-18 7:38,FALSE,Port Phillip Bay Open Water Swimming,"3,617",579,1:08:55,123,131,2.6,--,--,1:54,0:39,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,2094,43,30,--,0:00,21,0:00,No,00:00.0,1,0,--,--
Open Water Swimming,30-12-18 9:18,FALSE,Port Phillip Bay Open Water Swimming,"1,508",330,0:26:44,--,--,--,--,--,1:46,0:47,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,772,39,28,--,0:00,22,0:00,No,00:00.0,1,0,--,--
Cycling,29-12-18 6:06,FALSE,Melbourne Cycling,54.65,930,1:51:44,141,163,--,--,--,29.3,43.8,186,186,0,0,0,--,--,72,97,167,129,163,142,534,0,0,7191,--,--,--,0:00,17,0:00,No,00:00.0,55,0,--,--
Open Water Swimming,27-12-18 10:33,FALSE,Port Phillip Bay Open Water Swimming,"1,012",219,0:19:48,--,--,--,--,--,1:57,1:01,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,573,44,28,--,0:00,23,0:00,No,00:00.0,1,0,--,--
Running,27-12-18 9:22,FALSE,Melbourne Running,3.06,228,0:23:38,--,--,--,142,248,7:43,5:07,3,2,0.91,0,0,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,28,0:00,No,00:00.0,4,0,--,--
Cycling,27-12-18 6:00,FALSE,Melbourne Cycling,85.51,"1,181",2:51:05,128,166,--,--,--,30,47.7,185,184,0,0,0,--,--,67,126,143,145.1,141,119,520,0,0,10157,--,--,--,0:00,16,0:00,No,00:00.0,86,0,--,--
Open Water Swimming,26-12-18 11:00,FALSE,Point Leo Open Water Swimming,"2,527",553,0:56:46,--,--,--,--,--,2:15,0:11,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1774,51,31,--,0:00,19,0:00,No,00:00.0,1,0,--,--
Cycling,25-12-18 5:29,FALSE,Melbourne Cycling,101.48,"1,379",3:46:17,139,162,--,--,--,26.9,43.5,189,202,0,0,0,--,--,70,99,118,124.1,114,103,508,0,0,13626,--,--,--,0:00,15,0:00,No,00:00.0,102,0,--,--
Open Water Swimming,24-12-18 8:09,FALSE,Port Phillip Bay Open Water Swimming,"3,636",784,1:16:47,--,--,--,--,--,2:07,0:45,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,2261,47,29,--,0:00,20,0:00,No,00:00.0,1,0,--,--
Cycling,23-12-18 6:00,FALSE,Melbourne Cycling,85.4,"1,115",2:56:19,125,168,--,--,--,29.1,42.9,171,162,0,0,0,--,--,68,97,136,135.9,147,109,509,0,0,10261,--,--,--,0:00,12,0:00,No,00:00.0,86,0,--,--
Running,22-12-18 5:46,FALSE,Melbourne Running,7.05,507,0:52:01,--,--,--,147,248,7:23,5:00,36,47,0.92,0,0,--,--,--,--,--,0,--,--,--,0,0,--,--,--,--,0:00,18,0:00,No,00:00.0,8,0,--,--
Open Water Swimming,19-12-18 5:46,FALSE,Port Phillip Bay Open Water Swimming,"2,061",447,0:40:14,--,--,--,--,--,1:57,0:56,--,--,0,0,0,--,--,--,--,--,0,--,--,--,0,0,1277,45,31,--,0:00,20,0:00,No,00:00.0,1,0,--,--
